Points 100m 200m 300m 400m 500m 110mH 400mH 4x100m 4x200m 4x400m
13.84 28.55 45.62 1:03.50 1:23.53 20.14 1:14.31 55.42 1:55.31 4:24.34 245
13.85 28.56 45.65 1:03.54 1:23.57 20.15 1:14.36 55.44 1:55.36 4:24.48 244
- 28.58 45.67 1:03.57 1:23.61 20.16 1:14.40 55.47 1:55.42 4:24.63 243
13.86 28.59 45.70 1:03.60 1:23.66 20.17 1:14.44 55.50 1:55.48 4:24.77 242
13.87 28.61 45.72 1:03.63 1:23.70 20.19 1:14.49 55.53 1:55.54 4:24.91 241
- 28.62 45.74 1:03.66 1:23.74 20.20 1:14.53 55.56 1:55.60 4:25.06 240
13.88 28.64 45.77 1:03.70 1:23.78 20.21 1:14.57 55.59 1:55.66 4:25.20 239
13.89 28.65 45.79 1:03.73 1:23.82 20.22 1:14.62 55.62 1:55.72 4:25.34 238
- 28.66 45.81 1:03.76 1:23.87 20.23 1:14.66 55.65 1:55.78 4:25.49 237
13.90 28.68 45.84 1:03.79 1:23.91 20.24 1:14.70 55.68 1:55.84 4:25.63 236
13.91 28.69 45.86 1:03.82 1:23.95 20.26 1:14.75 55.71 1:55.90 4:25.78 235
- 28.71 45.89 1:03.86 1:24.00 20.27 1:14.79 55.74 1:55.96 4:25.92 234
13.92 28.72 45.91 1:03.89 1:24.04 20.28 1:14.84 55.77 1:56.02 4:26.07 233
13.93 28.74 45.94 1:03.92 1:24.08 20.29 1:14.88 55.79 1:56.08 4:26.22 232
- 28.75 45.96 1:03.95 1:24.12 20.30 1:14.93 55.82 1:56.14 4:26.36 231
13.94 28.77 45.98 1:03.99 1:24.17 20.32 1:14.97 55.85 1:56.20 4:26.51 230
13.95 28.78 46.01 1:04.02 1:24.21 20.33 1:15.02 55.88 1:56.26 4:26.66 229
- 28.80 46.03 1:04.05 1:24.25 20.34 1:15.06 55.91 1:56.32 4:26.80 228
13.96 28.81 46.06 1:04.08 1:24.30 20.35 1:15.11 55.94 1:56.38 4:26.95 227
13.97 28.83 46.08 1:04.12 1:24.34 20.36 1:15.15 55.97 1:56.44 4:27.10 226
- 28.84 46.11 1:04.15 1:24.38 20.38 1:15.20 56.00 1:56.50 4:27.25 225
13.98 28.85 46.13 1:04.18 1:24.43 20.39 1:15.24 56.03 1:56.56 4:27.39 224
13.99 28.87 46.16 1:04.22 1:24.47 20.40 1:15.29 56.06 1:56.62 4:27.54 223
- 28.88 46.18 1:04.25 1:24.51 20.41 1:15.33 56.09 1:56.69 4:27.69 222
14.00 28.90 46.21 1:04.28 1:24.56 20.42 1:15.38 56.12 1:56.75 4:27.84 221
14.01 28.91 46.23 1:04.32 1:24.60 20.44 1:15.42 56.15 1:56.81 4:27.99 220
- 28.93 46.26 1:04.35 1:24.65 20.45 1:15.47 56.18 1:56.87 4:28.14 219
14.02 28.94 46.28 1:04.38 1:24.69 20.46 1:15.51 56.21 1:56.93 4:28.29 218
14.03 28.96 46.31 1:04.42 1:24.74 20.47 1:15.56 56.24 1:57.00 4:28.44 217
- 28.97 46.33 1:04.45 1:24.78 20.48 1:15.61 56.28 1:57.06 4:28.59 216
14.04 28.99 46.36 1:04.48 1:24.82 20.50 1:15.65 56.31 1:57.12 4:28.75 215
14.05 29.00 46.38 1:04.52 1:24.87 20.51 1:15.70 56.34 1:57.18 4:28.90 214
- 29.02 46.41 1:04.55 1:24.91 20.52 1:15.74 56.37 1:57.25 4:29.05 213
14.06 29.03 46.43 1:04.59 1:24.96 20.53 1:15.79 56.40 1:57.31 4:29.20 212
14.07 29.05 46.46 1:04.62 1:25.00 20.55 1:15.84 56.43 1:57.37 4:29.36 211
14.08 29.07 46.48 1:04.65 1:25.05 20.56 1:15.88 56.46 1:57.43 4:29.51 210
- 29.08 46.51 1:04.69 1:25.09 20.57 1:15.93 56.49 1:57.50 4:29.66 209
14.09 29.10 46.53 1:04.72 1:25.14 20.58 1:15.98 56.52 1:57.56 4:29.82 208
14.10 29.11 46.56 1:04.76 1:25.18 20.60 1:16.02 56.55 1:57.62 4:29.97 207
- 29.13 46.59 1:04.79 1:25.23 20.61 1:16.07 56.59 1:57.69 4:30.13 206
14.11 29.14 46.61 1:04.83 1:25.28 20.62 1:16.12 56.62 1:57.75 4:30.28 205
14.12 29.16 46.64 1:04.86 1:25.32 20.63 1:16.17 56.65 1:57.82 4:30.44 204
- 29.17 46.66 1:04.89 1:25.37 20.65 1:16.21 56.68 1:57.88 4:30.59 203
14.13 29.19 46.69 1:04.93 1:25.41 20.66 1:16.26 56.71 1:57.94 4:30.75 202
14.14 29.20 46.71 1:04.96 1:25.46 20.67 1:16.31 56.74 1:58.01 4:30.91 201
MEN’S SPRINTS, HURDLES AND RELAYS / HOMMES SPRINTS, HAIES ET RELAIS
26
Points 100m 200m 300m 400m 500m 110mH 400mH 4x100m 4x200m 4x400m
200 14.15 29.22 46.74 1:05.00 1:25.50 20.69 1:16.36 56.77 1:58.07 4:31.06
199 - 29.24 46.77 1:05.03 1:25.55 20.70 1:16.40 56.81 1:58.14 4:31.22
198 14.16 29.25 46.79 1:05.07 1:25.60 20.71 1:16.45 56.84 1:58.20 4:31.38
197 14.17 29.27 46.82 1:05.10 1:25.64 20.72 1:16.50 56.87 1:58.27 4:31.54
196 - 29.28 46.85 1:05.14 1:25.69 20.74 1:16.55 56.90 1:58.33 4:31.70
195 14.18 29.30 46.87 1:05.18 1:25.74 20.75 1:16.60 56.93 1:58.40 4:31.85
194 14.19 29.32 46.90 1:05.21 1:25.78 20.76 1:16.65 56.97 1:58.47 4:32.01
193 14.20 29.33 46.93 1:05.25 1:25.83 20.78 1:16.69 57.00 1:58.53 4:32.17
192 - 29.35 46.95 1:05.28 1:25.88 20.79 1:16.74 57.03 1:58.60 4:32.33
191 14.21 29.36 46.98 1:05.32 1:25.93 20.80 1:16.79 57.06 1:58.66 4:32.50
190 14.22 29.38 47.01 1:05.35 1:25.97 20.81 1:16.84 57.10 1:58.73 4:32.66
189 - 29.40 47.03 1:05.39 1:26.02 20.83 1:16.89 57.13 1:58.80 4:32.82
188 14.23 29.41 47.06 1:05.43 1:26.07 20.84 1:16.94 57.16 1:58.86 4:32.98
187 14.24 29.43 47.09 1:05.46 1:26.12 20.85 1:16.99 57.19 1:58.93 4:33.14
186 14.25 29.44 47.11 1:05.50 1:26.16 20.87 1:17.04 57.23 1:59.00 4:33.31
185 - 29.46 47.14 1:05.53 1:26.21 20.88 1:17.09 57.26 1:59.07 4:33.47
184 14.26 29.48 47.17 1:05.57 1:26.26 20.89 1:17.14 57.29 1:59.13 4:33.63
183 14.27 29.49 47.20 1:05.61 1:26.31 20.91 1:17.19 57.33 1:59.20 4:33.80
182 14.28 29.51 47.22 1:05.64 1:26.36 20.92 1:17.24 57.36 1:59.27 4:33.96
181 - 29.53 47.25 1:05.68 1:26.41 20.93 1:17.29 57.39 1:59.34 4:34.13
180 14.29 29.54 47.28 1:05.72 1:26.45 20.95 1:17.34 57.43 1:59.40 4:34.29
179 14.30 29.56 47.30 1:05.75 1:26.50 20.96 1:17.39 57.46 1:59.47 4:34.46
178 14.31 29.58 47.33 1:05.79 1:26.55 20.97 1:17.44 57.49 1:59.54 4:34.63
177 - 29.59 47.36 1:05.83 1:26.60 20.99 1:17.49 57.53 1:59.61 4:34.79
176 14.32 29.61 47.39 1:05.87 1:26.65 21.00 1:17.54 57.56 1:59.68 4:34.96
175 14.33 29.63 47.42 1:05.90 1:26.70 21.02 1:17.59 57.60 1:59.75 4:35.13
174 14.34 29.64 47.44 1:05.94 1:26.75 21.03 1:17.64 57.63 1:59.82 4:35.30
173 - 29.66 47.47 1:05.98 1:26.80 21.04 1:17.69 57.66 1:59.89 4:35.47
172 14.35 29.68 47.50 1:06.02 1:26.85 21.06 1:17.75 57.70 1:59.96 4:35.63
171 14.36 29.69 47.53 1:06.05 1:26.90 21.07 1:17.80 57.73 2:00.03 4:35.80
170 14.37 29.71 47.56 1:06.09 1:26.95 21.08 1:17.85 57.77 2:00.10 4:35.97
169 14.38 29.73 47.59 1:06.13 1:27.00 21.10 1:17.90 57.80 2:00.17 4:36.15
168 - 29.74 47.61 1:06.17 1:27.05 21.11 1:17.95 57.84 2:00.24 4:36.32
167 14.39 29.76 47.64 1:06.21 1:27.10 21.13 1:18.01 57.87 2:00.31 4:36.49
166 14.40 29.78 47.67 1:06.24 1:27.15 21.14 1:18.06 57.91 2:00.38 4:36.66
165 14.41 29.80 47.70 1:06.28 1:27.20 21.15 1:18.11 57.94 2:00.45 4:36.83
164 - 29.81 47.73 1:06.32 1:27.25 21.17 1:18.16 57.98 2:00.52 4:37.01
163 14.42 29.83 47.76 1:06.36 1:27.30 21.18 1:18.22 58.01 2:00.59 4:37.18
162 14.43 29.85 47.79 1:06.40 1:27.35 21.20 1:18.27 58.05 2:00.67 4:37.36
161 14.44 29.87 47.82 1:06.44 1:27.41 21.21 1:18.32 58.08 2:00.74 4:37.53
160 14.45 29.88 47.84 1:06.48 1:27.46 21.22 1:18.38 58.12 2:00.81 4:37.71
159 - 29.90 47.87 1:06.52 1:27.51 21.24 1:18.43 58.15 2:00.88 4:37.88
158 14.46 29.92 47.90 1:06.56 1:27.56 21.25 1:18.48 58.19 2:00.96 4:38.06
157 14.47 29.94 47.93 1:06.59 1:27.61 21.27 1:18.54 58.22 2:01.03 4:38.24
156 14.48 29.95 47.96 1:06.63 1:27.67 21.28 1:18.59 58.26 2:01.10 4:38.42
155 14.49 29.97 47.99 1:06.67 1:27.72 21.30 1:18.65 58.30 2:01.18 4:38.59
154 - 29.99 48.02 1:06.71 1:27.77 21.31 1:18.70 58.33 2:01.25 4:38.77
153 14.50 30.01 48.05 1:06.75 1:27.82 21.33 1:18.76 58.37 2:01.32 4:38.95
152 14.51 30.02 48.08 1:06.79 1:27.88 21.34 1:18.81 58.41 2:01.40 4:39.13
151 14.52 30.04 48.11 1:06.83 1:27.93 21.36 1:18.87 58.44 2:01.47 4:39.31
MEN’S SPRINTS, HURDLES AND RELAYS / HOMMES SPRINTS, HAIES ET RELAIS
27
100m 200m 300m 400m 500m 110mH 400mH 4x100m 4x200m 4x400m Points
14.53 30.06 48.14 1:06.87 1:27.98 21.37 1:18.92 58.48 2:01.55 4:39.49 150
14.54 30.08 48.17 1:06.91 1:28.04 21.38 1:18.98 58.52 2:01.62 4:39.68 149
- 30.10 48.20 1:06.96 1:28.09 21.40 1:19.03 58.55 2:01.70 4:39.86 148
14.55 30.12 48.23 1:07.00 1:28.14 21.41 1:19.09 58.59 2:01.77 4:40.04 147
14.56 30.13 48.26 1:07.04 1:28.20 21.43 1:19.14 58.63 2:01.85 4:40.23 146
14.57 30.15 48.29 1:07.08 1:28.25 21.44 1:19.20 58.66 2:01.92 4:40.41 145
14.58 30.17 48.32 1:07.12 1:28.31 21.46 1:19.26 58.70 2:02.00 4:40.60 144
14.59 30.19 48.36 1:07.16 1:28.36 21.47 1:19.31 58.74 2:02.08 4:40.78 143
- 30.21 48.39 1:07.20 1:28.42 21.49 1:19.37 58.78 2:02.15 4:40.97 142
14.60 30.23 48.42 1:07.24 1:28.47 21.50 1:19.43 58.81 2:02.23 4:41.15 141
14.61 30.25 48.45 1:07.29 1:28.53 21.52 1:19.48 58.85 2:02.31 4:41.34 140
14.62 30.26 48.48 1:07.33 1:28.58 21.54 1:19.54 58.89 2:02.39 4:41.53 139
14.63 30.28 48.51 1:07.37 1:28.64 21.55 1:19.60 58.93 2:02.46 4:41.72 138
14.64 30.30 48.54 1:07.41 1:28.69 21.57 1:19.65 58.97 2:02.54 4:41.91 137
14.65 30.32 48.57 1:07.45 1:28.75 21.58 1:19.71 59.01 2:02.62 4:42.10 136
- 30.34 48.61 1:07.50 1:28.80 21.60 1:19.77 59.04 2:02.70 4:42.29 135
14.66 30.36 48.64 1:07.54 1:28.86 21.61 1:19.83 59.08 2:02.78 4:42.48 134
14.67 30.38 48.67 1:07.58 1:28.92 21.63 1:19.89 59.12 2:02.86 4:42.68 133
14.68 30.40 48.70 1:07.62 1:28.97 21.64 1:19.95 59.16 2:02.94 4:42.87 132
14.69 30.42 48.73 1:07.67 1:29.03 21.66 1:20.01 59.20 2:03.02 4:43.06 131
14.70 30.44 48.77 1:07.71 1:29.09 21.68 1:20.06 59.24 2:03.10 4:43.26 130
14.71 30.46 48.80 1:07.75 1:29.15 21.69 1:20.12 59.28 2:03.18 4:43.45 129
14.72 30.48 48.83 1:07.80 1:29.20 21.71 1:20.18 59.32 2:03.26 4:43.65 128
- 30.50 48.86 1:07.84 1:29.26 21.72 1:20.24 59.36 2:03.34 4:43.85 127
14.73 30.51 48.90 1:07.89 1:29.32 21.74 1:20.30 59.40 2:03.42 4:44.04 126
14.74 30.53 48.93 1:07.93 1:29.38 21.76 1:20.36 59.44 2:03.50 4:44.24 125
14.75 30.55 48.96 1:07.97 1:29.44 21.77 1:20.42 59.48 2:03.58 4:44.44 124
14.76 30.57 49.00 1:08.02 1:29.49 21.79 1:20.49 59.52 2:03.67 4:44.64 123
14.77 30.59 49.03 1:08.06 1:29.55 21.80 1:20.55 59.56 2:03.75 4:44.84 122
14.78 30.61 49.06 1:08.11 1:29.61 21.82 1:20.61 59.60 2:03.83 4:45.05 121
14.79 30.63 49.10 1:08.15 1:29.67 21.84 1:20.67 59.64 2:03.92 4:45.25 120
14.80 30.66 49.13 1:08.20 1:29.73 21.85 1:20.73 59.68 2:04.00 4:45.45 119
14.81 30.68 49.17 1:08.24 1:29.79 21.87 1:20.79 59.72 2:04.08 4:45.66 118
14.82 30.70 49.20 1:08.29 1:29.85 21.89 1:20.86 59.77 2:04.17 4:45.86 117
- 30.72 49.23 1:08.34 1:29.91 21.90 1:20.92 59.81 2:04.25 4:46.07 116
14.83 30.74 49.27 1:08.38 1:29.97 21.92 1:20.98 59.85 2:04.34 4:46.27 115
14.84 30.76 49.30 1:08.43 1:30.04 21.94 1:21.05 59.89 2:04.43 4:46.48 114
14.85 30.78 49.34 1:08.47 1:30.10 21.95 1:21.11 59.93 2:04.51 4:46.69 113
14.86 30.80 49.37 1:08.52 1:30.16 21.97 1:21.17 59.98 2:04.60 4:46.90 112
14.87 30.82 49.41 1:08.57 1:30.22 21.99 1:21.24 1:00.02 2:04.68 4:47.11 111
14.88 30.84 49.44 1:08.62 1:30.28 22.01 1:21.30 1:00.06 2:04.77 4:47.32 110
14.89 30.86 49.48 1:08.66 1:30.34 22.02 1:21.37 1:00.10 2:04.86 4:47.54 109
14.90 30.88 49.51 1:08.71 1:30.41 22.04 1:21.43 1:00.15 2:04.95 4:47.75 108
14.91 30.91 49.55 1:08.76 1:30.47 22.06 1:21.50 1:00.19 2:05.04 4:47.96 107
14.92 30.93 49.58 1:08.81 1:30.53 22.08 1:21.56 1:00.23 2:05.12 4:48.18 106
14.93 30.95 49.62 1:08.85 1:30.60 22.09 1:21.63 1:00.28 2:05.21 4:48.40 105
14.94 30.97 49.66 1:08.90 1:30.66 22.11 1:21.69 1:00.32 2:05.30 4:48.61 104
14.95 30.99 49.69 1:08.95 1:30.73 22.13 1:21.76 1:00.37 2:05.39 4:48.83 103
14.96 31.01 49.73 1:09.00 1:30.79 22.15 1:21.83 1:00.41 2:05.48 4:49.05 102
14.97 31.04 49.77 1:09.05 1:30.86 22.16 1:21.89 1:00.46 2:05.57 4:49.27 101
MEN’S SPRINTS, HURDLES AND RELAYS / HOMMES SPRINTS, HAIES ET RELAIS
28
Points 100m 200m 300m 400m 500m 110mH 400mH 4x100m 4x200m 4x400m
100 14.98 31.06 49.80 1:09.10 1:30.92 22.18 1:21.96 1:00.50 2:05.67 4:49.50
99 14.99 31.08 49.84 1:09.15 1:30.99 22.20 1:22.03 1:00.55 2:05.76 4:49.72
98 15.00 31.10 49.88 1:09.20 1:31.05 22.22 1:22.10 1:00.59 2:05.85 4:49.94
97 15.01 31.13 49.91 1:09.25 1:31.12 22.24 1:22.17 1:00.64 2:05.94 4:50.17
96 15.02 31.15 49.95 1:09.30 1:31.18 22.25 1:22.24 1:00.68 2:06.04 4:50.39
95 15.03 31.17 49.99 1:09.35 1:31.25 22.27 1:22.30 1:00.73 2:06.13 4:50.62
94 15.04 31.19 50.03 1:09.40 1:31.32 22.29 1:22.37 1:00.77 2:06.22 4:50.85
93 15.05 31.22 50.07 1:09.45 1:31.39 22.31 1:22.44 1:00.82 2:06.32 4:51.08
92 15.06 31.24 50.10 1:09.50 1:31.45 22.33 1:22.51 1:00.87 2:06.41 4:51.31
91 15.07 31.26 50.14 1:09.55 1:31.52 22.35 1:22.59 1:00.91 2:06.51 4:51.55
90 15.08 31.29 50.18 1:09.61 1:31.59 22.37 1:22.66 1:00.96 2:06.61 4:51.78
89 15.09 31.31 50.22 1:09.66 1:31.66 22.39 1:22.73 1:01.01 2:06.70 4:52.01
88 15.10 31.33 50.26 1:09.71 1:31.73 22.41 1:22.80 1:01.06 2:06.80 4:52.25
87 15.12 31.36 50.30 1:09.76 1:31.80 22.42 1:22.87 1:01.11 2:06.90 4:52.49
86 15.13 31.38 50.34 1:09.82 1:31.87 22.44 1:22.94 1:01.15 2:07.00 4:52.73
85 15.14 31.40 50.38 1:09.87 1:31.94 22.46 1:23.02 1:01.20 2:07.10 4:52.97
84 15.15 31.43 50.42 1:09.92 1:32.01 22.48 1:23.09 1:01.25 2:07.20 4:53.21
83 15.16 31.45 50.46 1:09.98 1:32.08 22.50 1:23.17 1:01.30 2:07.30 4:53.45
82 15.17 31.48 50.50 1:10.03 1:32.16 22.52 1:23.24 1:01.35 2:07.40 4:53.70
81 15.18 31.50 50.54 1:10.09 1:32.23 22.54 1:23.32 1:01.40 2:07.50 4:53.95
80 15.19 31.53 50.58 1:10.14 1:32.30 22.56 1:23.39 1:01.45 2:07.60 4:54.19
79 15.20 31.55 50.62 1:10.20 1:32.37 22.58 1:23.47 1:01.50 2:07.70 4:54.44
78 15.22 31.58 50.67 1:10.25 1:32.45 22.60 1:23.54 1:01.55 2:07.81 4:54.69
77 15.23 31.60 50.71 1:10.31 1:32.52 22.62 1:23.62 1:01.60 2:07.91 4:54.95
76 15.24 31.63 50.75 1:10.37 1:32.60 22.65 1:23.70 1:01.65 2:08.02 4:55.20
75 15.25 31.65 50.79 1:10.42 1:32.67 22.67 1:23.77 1:01.71 2:08.12 4:55.46
74 15.26 31.68 50.84 1:10.48 1:32.75 22.69 1:23.85 1:01.76 2:08.23 4:55.72
73 15.27 31.70 50.88 1:10.54 1:32.82 22.71 1:23.93 1:01.81 2:08.33 4:55.97
72 15.29 31.73 50.92 1:10.60 1:32.90 22.73 1:24.01 1:01.86 2:08.44 4:56.24
71 15.30 31.76 50.97 1:10.66 1:32.98 22.75 1:24.09 1:01.92 2:08.55 4:56.50
70 15.31 31.78 51.01 1:10.71 1:33.06 22.77 1:24.17 1:01.97 2:08.66 4:56.76
69 15.32 31.81 51.05 1:10.77 1:33.13 22.79 1:24.25 1:02.02 2:08.77 4:57.03
68 15.33 31.84 51.10 1:10.83 1:33.21 22.82 1:24.34 1:02.08 2:08.88 4:57.30
67 15.35 31.86 51.14 1:10.89 1:33.29 22.84 1:24.42 1:02.13 2:08.99 4:57.57
66 15.36 31.89 51.19 1:10.95 1:33.37 22.86 1:24.50 1:02.19 2:09.10 4:57.84
65 15.37 31.92 51.24 1:11.02 1:33.45 22.88 1:24.58 1:02.24 2:09.22 4:58.12
64 15.38 31.95 51.28 1:11.08 1:33.54 22.90 1:24.67 1:02.30 2:09.33 4:58.40
63 15.40 31.97 51.33 1:11.14 1:33.62 22.93 1:24.75 1:02.36 2:09.45 4:58.67
62 15.41 32.00 51.37 1:11.20 1:33.70 22.95 1:24.84 1:02.41 2:09.56 4:58.96
61 15.42 32.03 51.42 1:11.27 1:33.78 22.97 1:24.93 1:02.47 2:09.68 4:59.24
60 15.43 32.06 51.47 1:11.33 1:33.87 23.00 1:25.01 1:02.53 2:09.80 4:59.53
59 15.45 32.09 51.52 1:11.39 1:33.95 23.02 1:25.10 1:02.59 2:09.92 4:59.81
58 15.46 32.12 51.57 1:11.46 1:34.04 23.04 1:25.19 1:02.64 2:10.04 5:00.11
57 15.47 32.15 51.61 1:11.52 1:34.12 23.07 1:25.28 1:02.70 2:10.16 5:00.40
56 15.49 32.17 51.66 1:11.59 1:34.21 23.09 1:25.37 1:02.76 2:10.28 5:00.69
55 15.50 32.20 51.71 1:11.66 1:34.30 23.12 1:25.46 1:02.82 2:10.40 5:00.99
54 15.51 32.23 51.76 1:11.72 1:34.39 23.14 1:25.55 1:02.89 2:10.53 5:01.29
53 15.53 32.26 51.81 1:11.79 1:34.48 23.16 1:25.64 1:02.95 2:10.65 5:01.60
52 15.54 32.30 51.86 1:11.86 1:34.57 23.19 1:25.74 1:03.01 2:10.78 5:01.91
51 15.56 32.33 51.92 1:11.93 1:34.66 23.21 1:25.83 1:03.07 2:10.91 5:02.22
MEN’S SPRINTS, HURDLES AND RELAYS / HOMMES SPRINTS, HAIES ET RELAIS
29
100m 200m 300m 400m 500m 110mH 400mH 4x100m 4x200m 4x400m Points
15.57 32.36 51.97 1:12.00 1:34.75 23.24 1:25.93 1:03.13 2:11.03 5:02.53 50
15.58 32.39 52.02 1:12.07 1:34.84 23.27 1:26.02 1:03.20 2:11.16 5:02.85 49
15.60 32.42 52.07 1:12.14 1:34.94 23.29 1:26.12 1:03.26 2:11.30 5:03.16 48
15.61 32.45 52.13 1:12.21 1:35.03 23.32 1:26.22 1:03.33 2:11.43 5:03.49 47
15.63 32.49 52.18 1:12.28 1:35.13 23.34 1:26.32 1:03.39 2:11.56 5:03.81 46
15.64 32.52 52.24 1:12.36 1:35.22 23.37 1:26.42 1:03.46 2:11.70 5:04.14 45
15.66 32.55 52.29 1:12.43 1:35.32 23.40 1:26.52 1:03.53 2:11.84 5:04.48 44
15.67 32.59 52.35 1:12.51 1:35.42 23.43 1:26.62 1:03.60 2:11.98 5:04.81 43
15.69 32.62 52.40 1:12.58 1:35.52 23.45 1:26.72 1:03.67 2:12.12 5:05.16 42
15.70 32.65 52.46 1:12.66 1:35.62 23.48 1:26.83 1:03.74 2:12.26 5:05.50 41
15.72 32.69 52.52 1:12.74 1:35.73 23.51 1:26.94 1:03.81 2:12.40 5:05.85 40
15.74 32.72 52.58 1:12.81 1:35.83 23.54 1:27.04 1:03.88 2:12.55 5:06.21 39
15.75 32.76 52.64 1:12.89 1:35.94 23.57 1:27.15 1:03.95 2:12.70 5:06.56 38
15.77 32.80 52.70 1:12.98 1:36.04 23.60 1:27.26 1:04.02 2:12.85 5:06.93 37
15.79 32.83 52.76 1:13.06 1:36.15 23.63 1:27.38 1:04.10 2:13.00 5:07.30 36
15.80 32.87 52.82 1:13.14 1:36.26 23.66 1:27.49 1:04.17 2:13.15 5:07.67 35
15.82 32.91 52.88 1:13.22 1:36.37 23.69 1:27.60 1:04.25 2:13.31 5:08.05 34
15.84 32.95 52.95 1:13.31 1:36.48 23.72 1:27.72 1:04.33 2:13.47 5:08.43 33
15.86 32.99 53.01 1:13.40 1:36.60 23.75 1:27.84 1:04.41 2:13.63 5:08.82 32
15.87 33.02 53.08 1:13.48 1:36.72 23.78 1:27.96 1:04.49 2:13.79 5:09.22 31
15.89 33.06 53.15 1:13.57 1:36.83 23.82 1:28.08 1:04.57 2:13.96 5:09.62 30
15.91 33.11 53.21 1:13.67 1:36.95 23.85 1:28.21 1:04.65 2:14.12 5:10.03 29
15.93 33.15 53.28 1:13.76 1:37.08 23.88 1:28.33 1:04.74 2:14.30 5:10.45 28
15.95 33.19 53.35 1:13.85 1:37.20 23.92 1:28.46 1:04.82 2:14.47 5:10.87 27
15.97 33.23 53.43 1:13.95 1:37.33 23.95 1:28.59 1:04.91 2:14.65 5:11.30 26
15.99 33.28 53.50 1:14.05 1:37.46 23.99 1:28.73 1:05.00 2:14.83 5:11.75 25
16.01 33.32 53.57 1:14.15 1:37.59 24.02 1:28.87 1:05.09 2:15.02 5:12.19 24
16.03 33.37 53.65 1:14.25 1:37.72 24.06 1:29.00 1:05.18 2:15.20 5:12.65 23
16.05 33.41 53.73 1:14.35 1:37.86 24.10 1:29.15 1:05.28 2:15.40 5:13.12 22
16.07 33.46 53.81 1:14.46 1:38.00 24.14 1:29.29 1:05.37 2:15.60 5:13.60 21
16.09 33.51 53.89 1:14.57 1:38.15 24.18 1:29.44 1:05.47 2:15.80 5:14.09 20
16.12 33.56 53.97 1:14.68 1:38.30 24.22 1:29.60 1:05.57 2:16.01 5:14.60 19
16.14 33.61 54.06 1:14.80 1:38.45 24.26 1:29.75 1:05.68 2:16.22 5:15.12 18
16.16 33.67 54.15 1:14.91 1:38.60 24.31 1:29.92 1:05.79 2:16.44 5:15.65 17
16.19 33.72 54.24 1:15.04 1:38.77 24.35 1:30.08 1:05.90 2:16.66 5:16.20 16
16.21 33.78 54.33 1:15.16 1:38.93 24.40 1:30.25 1:06.01 2:16.90 5:16.76 15
16.24 33.83 54.43 1:15.29 1:39.10 24.44 1:30.43 1:06.13 2:17.14 5:17.34 14
16.27 33.90 54.53 1:15.43 1:39.28 24.49 1:30.62 1:06.25 2:17.39 5:17.95 13
16.30 33.96 54.63 1:15.57 1:39.47 24.54 1:30.81 1:06.38 2:17.65 5:18.58 12
16.33 34.02 54.74 1:15.71 1:39.66 24.60 1:31.01 1:06.51 2:17.92 5:19.24 11
16.36 34.09 54.86 1:15.87 1:39.86 24.65 1:31.22 1:06.65 2:18.20 5:19.92 10
16.39 34.16 54.98 1:16.03 1:40.07 24.71 1:31.44 1:06.80 2:18.50 5:20.65 9
16.43 34.24 55.10 1:16.20 1:40.30 24.77 1:31.67 1:06.95 2:18.81 5:21.41 8
16.46 34.32 55.24 1:16.38 1:40.54 24.84 1:31.91 1:07.12 2:19.15 5:22.22 7
16.50 34.41 55.38 1:16.57 1:40.79 24.91 1:32.18 1:07.29 2:19.51 5:23.09 6
16.54 34.50 55.54 1:16.78 1:41.07 24.99 1:32.47 1:07.48 2:19.90 5:24.04 5
16.59 34.61 55.72 1:17.02 1:41.38 25.07 1:32.79 1:07.70 2:20.33 5:25.10 4
16.65 34.73 55.91 1:17.28 1:41.73 25.17 1:33.15 1:07.94 2:20.82 5:26.29 3
16.71 34.87 56.15 1:17.60 1:42.15 25.28 1:33.58 1:08.22 2:21.40 5:27.70 2
16.79 35.05 56.46 1:18.01 1:42.69 25.43 1:34.14 1:08.60 2:22.16 5:29.55 1
